City_ID,City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Codrington,0,AU,54,-38.2667,141.9667,17.69,3.54
1,Anzhero-Sudzhensk,100,RU,93,56.081,86.0285,-5.31,4.91
2,Cape Town,1,ZA,66,-33.9258,18.4232,24.1,6.26
3,Ust-Kuyga,93,RU,100,70.0167,135.6,-47.31,2.06
4,Juneau,100,US,97,58.3019,-134.4197,3.39,1.54
5,Dikson,100,RU,94,73.5069,80.5464,-18.92,6.57
6,Yellowknife,100,CA,100,62.456,-114.3525,-22.28,0.07
7,Rocha,3,UY,30,-34.4833,-54.3333,29.83,7.46
8,Severo-Kurilsk,61,RU,83,50.6789,156.125,-4.76,4.16
9,Ponta Do Sol,74,PT,66,32.6667,-17.1,21.35,2.74
10,Avarua,100,CK,94,-21.2078,-159.775,22.03,1.03
11,Bluff,2,NZ,82,-46.6,168.3333,10.16,5.63
12,Barrow,20,US,77,71.2906,-156.7887,-22.99,7.72
13,Atuona,22,PF,79,-9.8,-139.0333,25.26,5.31
14,Bredasdorp,75,ZA,64,-34.5322,20.0403,21.87,6.52
15,Rwamagana,80,RW,64,-1.9487,30.4347,24.69,1.33
16,Bakel,99,SN,11,14.905,-12.4568,34.32,4.73
17,Ketchikan,100,US,66,55.3422,-131.6461,9.99,6.17
18,Tula,19,RU,95,54.2044,37.6111,-19.31,2.09
19,Lompoc,75,US,82,34.6391,-120.4579,13.29,4.02
20,Iqaluit,100,CA,76,63.7506,-68.5145,-28.15,6.69
21,Ushuaia,40,AR,36,-54.8,-68.3,15.81,2.06
22,Esperance,76,AU,68,-33.8667,121.9,15.75,2.54
23,Te Horo,100,NZ,82,-40.8084,175.1233,15.45,3.13
24,Port Blair,6,IN,73,11.6667,92.75,26.4,5.13
25,General Roca,10,AR,15,-39.0333,-67.5833,37.01,4.35
26,Klaksvik,100,FO,83,62.2266,-6.589,3.51,1.76
27,Thompson,27,CA,95,55.7435,-97.8558,-14.64,2.69
28,Ranong,42,TH,84,9.9658,98.6348,22.82,2.35
29,Lata,100,PT,98,40.1629,-8.3327,14.49,4.78
30,Itarema,19,BR,51,-2.9248,-39.9167,31.46,7.55
31,Oksfjord,33,NO,90,70.2396,22.3479,-4.9,7.69
32,Norman Wells,92,CA,100,65.282,-126.8329,-26.22,0.2
33,Tuatapere,6,NZ,94,-46.1333,167.6833,7.09,2.06
34,Payo,84,ID,96,-3.7508,103.6372,22.58,1.18
35,Plettenberg Bay,15,ZA,72,-34.0527,23.3716,19.83,5.8
36,Qaanaaq,100,GL,95,77.484,-69.3632,-25.4,1.94
37,Bengkulu,91,ID,90,-3.8004,102.2655,24.04,2.33
38,Port Alfred,24,ZA,72,-33.5906,26.891,22.88,0.45
39,Mirnyy,100,RU,99,62.5353,113.9611,-25.4,0.71
40,Zehdenick,100,DE,92,52.9785,13.3317,9.39,3.26
41,Mahebourg,57,MU,76,-20.4081,57.7,26.25,5.77
42,Yaan,35,NG,12,7.3833,8.5667,36.04,4.91
43,Evensk,10,RU,81,61.95,159.2333,-26.98,2.75
44,Murud,2,IN,71,18.3258,72.965,24.46,3.34
45,Kendari,100,ID,87,-3.945,122.4989,25.38,0.08
46,Inta,24,RU,95,66.0317,60.1659,-35.36,2.89
47,Victoria,100,HK,65,22.2855,114.1577,19.1,4.02
48,Comodoro Rivadavia,0,AR,20,-45.8667,-67.5,27.92,9.77
49,Nome,100,US,100,64.5011,-165.4064,-10.96,1.54
50,Calabar,5,NG,42,4.9517,8.322,32.97,5.04
51,Kyra,9,RU,89,49.5776,111.9753,-16.39,3.09
52,Sergeyevka,100,KZ,95,53.88,67.4158,-13.66,3.85
53,Hobyo,3,SO,79,5.3505,48.5268,25.72,7.84
54,Vila Velha,75,BR,86,-20.3297,-40.2925,25.97,5.66
55,Rikitea,8,PF,75,-23.1203,-134.9692,25.42,6.82
56,Bon Air,0,US,55,37.5249,-77.5578,9.28,2.06
57,Bongandanga,80,CD,26,1.5,21.05,32.67,1.6
58,Pimenteiras,25,BR,24,-6.2453,-41.4192,37.55,1.92
59,Aswan,17,EG,29,24.0934,32.907,18.35,4.23
60,New Norfolk,0,AU,69,-42.7826,147.0587,13.73,1.13
61,Mitu,94,CO,77,1.1983,-70.1733,25.74,1.68
62,Mataura,2,NZ,91,-46.1927,168.8643,7.22,1.75
63,Gannan,43,CN,98,47.9147,123.5031,-22.68,0.73
64,Sterling,75,US,52,39.0062,-77.4286,8.48,4.63
65,Hilo,20,US,85,19.7297,-155.09,20.9,2.57
66,Jamestown,100,US,72,42.097,-79.2353,1.77,2.57
67,Vila Franca Do Campo,94,PT,92,37.7167,-25.4333,17.23,7.77
68,Letterkenny,58,IE,86,54.95,-7.7333,7.94,8.54
69,Paamiut,100,GL,64,61.994,-49.6678,-5.06,5.79
70,Hermanus,31,ZA,58,-34.4187,19.2345,24.89,9.01
71,Mansoa,64,GW,11,12.0733,-15.3189,36.75,3.53
72,Caraballeda,20,VE,64,10.6112,-66.8522,31.59,2.57
73,Husavik,100,IS,91,66.0449,-17.3389,-1.81,0.93
74,San Quintin,23,MX,53,30.4833,-115.95,15.27,1.49
75,Cherskiy,100,RU,97,68.75,161.3,-32.5,1.65
76,San Patricio,32,US,77,28.017,-97.5169,23.92,5.74
77,Chuy,0,UY,49,-33.6971,-53.4616,26.24,6.42
78,Torbay,100,CA,83,47.6666,-52.7314,-0.24,2.68
79,Puerto Ayora,8,EC,92,-0.7393,-90.3518,27.98,1.79
80,Punta Arenas,20,CL,34,-53.15,-70.9167,17.06,10.29
81,Albany,100,US,83,42.6001,-73.9662,4.54,0.45
82,Hobart,1,AU,89,-42.8794,147.3294,13.92,2.57
83,Abbeville,100,FR,86,50.1,1.8333,10.98,8.77
84,Malindi,46,KE,81,-3.2175,40.1191,26.65,5.89
85,Mehamn,14,NO,79,71.0357,27.8492,-8.03,8.23
